0.615074,1.095692,0.036707
0.736803,1.342074,0.011144
0.459644,1.336150,-0.011988
0.525167,1.121043,-0.007554
0.793681,1.378612,0.011676
0.471624,1.371128,-0.012639
0.578484,1.342545,0.001465
0.727087,1.373461,0.008804
0.683932,1.252028,0.010930
0.715319,1.034085,0.004192
0.682960,0.900833,-0.007280
0.705941,0.817830,-0.015778
0.531109,0.822245,-0.020811
0.696967,0.988752,0.001033
0.805422,0.821616,-0.011824
0.591852,1.024655,-0.001601
0.718414,1.275651,0.012326
0.488924,1.085180,-0.008914
0.591211,1.182653,0.001461
0.696234,1.250733,0.011305
0.522439,1.199737,-0.003769
0.683113,0.895938,-0.007664
0.461852,1.089729,-0.009957
0.804241,1.005027,0.004020
0.653622,0.932121,-0.005308
0.614941,1.215140,0.004297
0.766990,1.374525,0.008936
0.791726,1.010533,0.004446
0.496061,0.943503,-0.014431
0.662399,1.081691,0.006245
0.551202,1.291087,0.000532
